"id","player","pos","team","avg_projection","overall_ecr","adp_average","CBS","ESPN","FFToday","FanDuel","FantasyPros","FantasySharks","RTSports","adp_yahoo","adp_espn"
"15797","Greg Dulcich","TE","MIA",115.97,213.23,131.4,146.5,122.1,138.6,152.75,NA,7.74,136.6,131.4,170.5
"17543","Kenyon Sadiq","TE","NYJ",114.65,224.08,NA,133.8,146.2,115.7,127.97,NA,2.3,165.9,NA,165.7
"16193","Kayshon Boutte","WR","HOU",114.21,169.26,NA,134,141.6,87.6,137.23,NA,4.4,180.4,NA,170.6
"15331","Pat Freiermuth","TE","PIT",114.19,232.85,123.4,127,138.3,139.6,117.65,NA,8.9,153.7,123.4,169.7
"16896","Spencer Shrader","K","IND",114.09,274.92,132.8,165.82,98,39,NA,43.5,9,13,132.8,170
"11936","Chris Boswell","K","PIT",113.85,244.02,133.4,127.13,94,36,149.61,NA,7.8,40,133.4,164.7
"16593","Blake Corum","RB","LAR",113.28,109.14,99.5,132.2,160.4,132.4,116.08,NA,7.6,135,99.5,126.4
"14983","Tyler Bass","K","BUF",113.02,271.23,NA,139.49,101,51,NA,NA,7.6,43,NA,169.6
"8851","Nick Folk","K","ATL",112.91,254.6,NA,151.37,93,37,139.98,NA,7.4,27,NA,170.3
"17668","Trey Smack","K","GBP",112.53,271.18,NA,139.26,103,40,137.19,NA,5.6,31,NA,168.2
"17434","Ben Sauls","K","FA",112.17,280.33,NA,93.92,NA,NA,132.91,NA,NA,31,NA,NA
"16287","Tre Tucker","WR","LVR",112.09,158.05,128.5,147.7,137.6,135.5,100.42,NA,10.4,140.9,128.5,169.4
"15368","Evan McPherson","K","CIN",112.08,216.44,NA,154.15,97,43,125.57,NA,6.9,37,NA,169.3
"13718","Daniel Carlson","K","NOS",112.03,262.86,NA,140.14,94,36,125.55,NA,7.2,33,NA,170.2
"17220","Andres Borregales","K","NEP",111.79,224.35,NA,132.62,91,46,144.23,NA,6.7,48,NA,170.1
"17053","Woody Marks","RB","HOU",111.78,135.52,130.7,129,129.3,119.1,150.36,NA,6.8,140.5,130.7,152.2
